RunID,Judged,Topics,Retrieve,RelevantRetrieve,RelevantTopic,MAP,MeanBpref,MeanNDCG@10,MeanNDCG@20,MeanRBP(p=0.5),P@5,P@10,P@15,P@20,P@30,ExactPrecision
UIowaS,no,40,39906,3183,4698,0.3182,0.5759,0.7559,,0.7955+0.0432,0.895,0.825,0.77,0.7325,0.64,0.3563
uogTrDPH,yes,40,33774,2138,4698,0.176,0.3818,0.6319,,0.6822+0.0161,0.77,0.735,0.6267,0.5412,0.4508,0.24
UPrrf20lgbert50-r3,no,40,39905,3135,4698,0.2754,0.4958,0.6849,,0.7675+0.0338,0.8,0.72,0.6683,0.6275,0.5617,0.3236
UPrrf20lgprel50v2-r3,no,40,39905,3135,4698,0.2783,0.4964,0.7134,,0.7743+0.0323,0.79,0.7475,0.685,0.6325,0.5658,0.3236
UPrrf20maxens-r3,yes,40,39905,3135,4698,0.274,0.4952,0.6954,,0.7420+0.0274,0.765,0.74,0.6833,0.63,0.5642,0.3236
xj4wang,yes,40,39938,2857,4698,0.2836,0.5681,0.7431,,0.7300+0.0407,0.835,0.8325,0.72,0.6625,0.5633,0.3325
xj4wang,no,40,39941,2794,4698,0.2534,0.5537,0.6252,,0.6303+0.2002,0.7,0.705,0.6733,0.64,0.5517,0.3111
xj4wang,no,40,39942,2742,4698,0.2751,0.5464,0.7413,,0.7299+0.0412,0.835,0.8275,0.7183,0.6588,0.5608,0.328
active,yes,45,39716,3612,5824,0.2946,0.5464,,0.6551,0.8056+0.0244,0.8578,0.8,0.7052,0.6533,0.5748,0.3414
BioInfo-run2,yes,45,30771,2574,5824,0.2161,0.3665,,0.6191,0.7190+0.0005,0.8089,0.7644,0.7126,0.6667,0.58,0.2846
BioInfo-run3,no,45,44977,4213,5824,0.3058,0.5494,,0.6334,0.7394+0.0003,0.8133,0.7489,0.717,0.6822,0.6022,0.3391
combined,no,45,39760,3622,5824,0.2963,0.548,,0.6451,0.7739+0.0387,0.8311,0.78,0.7037,0.6522,0.5778,0.3427
covidex.r4.d2q.duot5,yes,45,40405,3795,5824,0.3122,0.5589,,0.7219,0.8502+0.0007,0.8622,0.8178,0.7689,0.7267,0.6319,0.3426
covidex.r4.duot5.lr,yes,45,40405,3795,5824,0.3846,0.5825,,0.7745,0.8838+0.0003,0.9244,0.8933,0.8489,0.7967,0.7044,0.4189
covidex.r4.duot5,no,45,42252,3919,5824,0.3283,0.5576,,0.6877,0.8130+0.0349,0.8178,0.7778,0.7378,0.6922,0.6133,0.3606
CSIROmedNIR,yes,45,37350,3304,5824,0.2625,0.4713,,0.6353,0.7483+0.0063,0.7867,0.76,0.7141,0.6633,0.5807,0.3079
HKPU-Gos1-pPRF,yes,45,44982,3732,5824,0.2746,0.5251,,0.5856,0.6901+0.0007,0.7467,0.7156,0.6622,0.6111,0.5481,0.3169
HKPU-MATF-pPRF,yes,45,44981,3818,5824,0.3125,0.5438,,0.637,0.7670+0.0005,0.8178,0.7622,0.6978,0.6533,0.5859,0.3466
HKPU-SPUD-pPRF,no,45,44983,3834,5824,0.314,0.5429,,0.6389,0.7558+0.0158,0.7689,0.72,0.6933,0.6589,0.5881,0.3531
l2r,yes,45,39604,3706,5824,0.3103,0.5598,,0.6501,0.7647+0.0206,0.8089,0.7533,0.6993,0.6667,0.603,0.3483
mpiid5,yes,45,44980,4285,5824,0.3993,0.6132,,0.7391,0.8622+0.0004,0.9067,0.8422,0.7926,0.7589,0.6585,0.4332
r4.fusion2,yes,45,44981,4020,5824,0.3088,0.5302,,0.6089,0.6715+0.0003,0.7644,0.7244,0.6978,0.6589,0.5852,0.3479
r4.rf,yes,45,44977,3981,5824,0.3519,0.5607,,0.6976,0.8174+0.0003,0.8578,0.8067,0.7748,0.7344,0.6726,0.3935
run1,no,45,44978,4313,5824,0.3992,0.6256,,0.742,0.8551+0.0053,0.8622,0.84,0.8074,0.7633,0.7067,0.432
run2,yes,45,44979,4373,5824,0.4079,0.6292,,0.747,0.8612+0.0002,0.9022,0.8511,0.7985,0.77,0.7111,0.4327
run3,yes,45,44979,4365,5824,0.3967,0.6299,,0.7345,0.8598+0.0003,0.8978,0.8467,0.7941,0.7522,0.7015,0.4213
sab20.4.dfo,yes,45,44980,4234,5824,0.3722,0.6257,,0.7247,0.8346+0.0007,0.8889,0.8489,0.7793,0.7556,0.68,0.4064
sab20.4.metadocs,no,45,44778,3847,5824,0.2935,0.5242,,0.6358,0.7898+0.0231,0.7911,0.7133,0.6785,0.6533,0.5741,0.3392
sab20.4.rocchio,yes,45,44409,4024,5824,0.3333,0.5802,,0.6921,0.8291+0.0007,0.8844,0.8289,0.757,0.7133,0.64,0.3703
SFDC-re-fus12-enc24,yes,45,44981,4168,5824,0.342,0.5874,,0.6763,0.7686+0.0005,0.8133,0.7978,0.7467,0.7056,0.6348,0.3724
SFDC-re-fus12-enc34,no,45,44979,4175,5824,0.3431,0.5875,,0.6741,0.7609+0.0012,0.8222,0.7778,0.7422,0.7067,0.6474,0.3752
ucd,yes,45,44980,3418,5824,0.2976,0.4871,,0.6474,0.7307+0.0004,0.7822,0.7467,0.7096,0.6911,0.6178,0.3477
ucd,no,45,44976,3655,5824,0.3178,0.5265,,0.6528,0.7534+0.0283,0.8267,0.76,0.723,0.6844,0.6289,0.3714
udel,yes,45,44979,4198,5824,0.3907,0.6161,,0.7534,0.8660+0.0004,0.9378,0.8911,0.8281,0.7844,0.7133,0.4167
udel,yes,45,44979,4198,5824,0.3865,0.6152,,0.7336,0.8745+0.0005,0.9378,0.8733,0.8133,0.76,0.6756,0.4143
udel,no,45,44979,4203,5824,0.3104,0.6095,,0.5976,0.7274+0.1153,0.7422,0.6711,0.6356,0.6033,0.5474,0.3723
uogTrDPH,yes,45,44756,3842,5824,0.3186,0.5362,,0.6439,0.7752+0.0006,0.84,0.78,0.7111,0.6656,0.6052,0.3562
uogTrDPH,yes,45,44756,3842,5824,0.3457,0.551,,0.682,0.8003+0.0005,0.8622,0.8133,0.757,0.7144,0.6296,0.383
uogTrDPH,no,45,44756,3842,5824,0.3342,0.5524,,0.6597,0.7844+0.0064,0.8311,0.7733,0.7333,0.6844,0.6148,0.3724
UPrrf38rrf2-r4,no,45,44982,4334,5824,0.3612,0.5917,,0.6792,0.7602+0.0067,0.8133,0.7844,0.7437,0.7156,0.6541,0.3959
UPrrf38rrf3-r4,yes,45,44979,4673,5824,0.4681,0.6801,,0.7843,0.8599+0.0003,0.9333,0.9,0.8607,0.8211,0.7504,0.4772
UPrrf38rrf3v2-r4,yes,45,44980,4474,5824,0.431,0.6514,,0.7706,0.8718+0.0004,0.9378,0.8778,0.8311,0.7856,0.7274,0.4504
uw,no,45,44885,4248,5824,0.3471,0.5622,,0.6494,0.7411+0.0145,0.7778,0.76,0.717,0.6867,0.6281,0.3801
uw,yes,45,44898,4473,5824,0.3923,0.6317,,0.6811,0.7725+0.0006,0.8844,0.82,0.7585,0.7189,0.6504,0.4143
